component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
你好啊,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpt9cpuq9u.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:41:27.081642
你能做些什么？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpefm3q0c9.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:41:36.300358
你是谁？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpb4z6j905.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:41:43.621320
你能写诉状吗？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpvyn567tn.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:42:00.348541
你了解我国的哪些法律法规？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpz23f1ho2.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:42:33.057065
你的资料库中民法典方面的内容丰富吗？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmp75pq_f8c.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:43:19.375564
判例方面你都有哪些？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpdi4dwtf2.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:44:03.972030
你的资料库中最新的一个判例是什么？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpayl582m8.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:44:41.263362
我需要非国家工作人员受贿相关判例做参考，请帮我整理出5个典型案例,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpanip2wcr.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:45:59.966414
非国家工作人员受贿罪的构成要件有哪些？请用表格罗列出来,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpoob3jfsh.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:47:09.249526
请用表格对比国家工作人员和非国家工作人员受贿的区别,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmp6ifdk2h9.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:49:33.017844
你好，你是谁？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmp0x_7q7yv.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:54:19.345749
你能帮我做什么？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmppdqdi5n7.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:54:48.307964
你都了解我过哪些法律法规？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmp8yayl87r.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:55:12.256855
你对民法典了解多少？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpxodou43l.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:56:37.307233
你的资料库中，判例方面的内容有哪些？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpi3q3b6k8.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:57:01.942004
请帮我整理5个非国家工作人员受贿的典型案例，详细说明判罚的依据和结果,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpgg38psq_.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 10:59:16.673549
把上面的案例整理成表格,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmp6d0u0y2f.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:01:09.530977
针对案例一，如果你是辩护律师，你会如何辩护？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpng70yf4e.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:12:26.069140
以案例一为例，草拟一份答辩状,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpppy9ayhi.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:13:10.874314
以案例一为例，从检方角度，出局一份答辩意见,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpk5l6i85h.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:14:52.081422
以案例一为例，从被告角度，草拟一份自辩书,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpdvh4owlj.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:16:13.435949
请帮我整理5个非国家工作人员受贿的典型案例，详细说明判罚的依据和结果,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpndz2ejsf.json,在线问答,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:18:47.200551
非国家工作人员受贿数额巨大是指的什么？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmp3136_l_x.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:20:01.042021
非国家工作人员受贿数额巨大是指的什么？,,/mnt/d/github-project/Counsel-GPT/flagged/component 2/tmpk41gyr85.json,通用对话,,368b4862601a47be845489c2ec5d818f,2023-07-13 11:20:47.320141
